time,enrolled,available,waitlisted,total
2022-11-24T08:55:54,241,0,87,240
2022-11-24T09:05:17,241,0,87,240
2022-11-24T09:14:38,241,0,87,240
2022-11-24T09:23:58,241,0,87,240
2022-11-24T09:33:19,241,0,87,240
2022-11-24T09:42:39,241,0,87,240
2022-11-24T09:51:59,241,0,87,240
2022-11-24T10:01:16,241,0,87,240
2022-11-24T10:10:33,241,0,87,240
2022-11-24T10:19:49,241,0,87,240
2022-11-24T10:29:04,241,0,87,240
2022-11-24T10:38:20,241,0,87,240
2022-11-24T10:47:35,241,0,87,240
2022-11-24T10:56:50,241,0,87,240
2022-11-24T11:06:05,241,0,87,240
2022-11-24T11:15:20,241,0,87,240
2022-11-24T11:24:35,241,0,87,240
2022-11-24T11:33:51,241,0,87,240
2022-11-24T11:43:06,241,0,87,240
2022-11-24T11:52:24,241,0,87,240
2022-11-24T12:01:42,241,0,87,240
2022-11-24T12:10:57,241,0,87,240
2022-11-24T12:20:12,241,0,87,240
2022-11-24T12:29:27,241,0,87,240
2022-11-24T12:38:42,241,0,87,240
2022-11-24T12:47:57,241,0,87,240
2022-11-24T12:57:12,241,0,87,240
2022-11-24T13:06:26,241,0,87,240
2022-11-24T13:15:40,241,0,87,240
2022-11-24T13:24:54,241,0,87,240
2022-11-24T13:34:09,241,0,87,240
2022-11-24T13:43:23,241,0,87,240
2022-11-24T13:52:37,241,0,87,240
2022-11-24T14:01:52,241,0,87,240
2022-11-24T14:11:06,241,0,87,240
2022-11-24T14:20:21,241,0,87,240
2022-11-24T14:29:36,241,0,87,240
2022-11-24T14:38:50,241,0,87,240
2022-11-24T14:48:04,241,0,87,240
2022-11-24T14:57:18,241,0,87,240
2022-11-24T15:06:31,241,0,87,240
2022-11-24T15:15:46,241,0,87,240
2022-11-24T15:25:01,241,0,87,240
2022-11-24T15:34:15,241,0,87,240
2022-11-24T15:43:29,241,0,87,240
2022-11-24T15:52:43,241,0,87,240
2022-11-24T16:01:57,241,0,87,240
2022-11-24T16:11:11,241,0,87,240
2022-11-24T16:20:25,241,0,87,240
2022-11-24T16:29:39,241,0,87,240
2022-11-24T16:38:53,241,0,87,240
2022-11-24T16:48:07,241,0,87,240
2022-11-24T16:57:20,241,0,87,240
2022-11-24T17:06:34,241,0,87,240
2022-11-24T17:15:48,241,0,87,240
2022-11-24T17:25:02,241,0,87,240
2022-11-24T17:34:17,241,0,87,240
2022-11-24T17:43:31,241,0,87,240
2022-11-24T17:52:45,241,0,87,240
2022-11-24T18:01:59,241,0,87,240
2022-11-24T18:11:13,241,0,87,240
2022-11-24T18:20:27,241,0,87,240
2022-11-24T18:29:42,241,0,87,240
2022-11-24T18:38:56,241,0,87,240
2022-11-24T18:48:10,241,0,87,240
2022-11-24T18:57:24,241,0,87,240
2022-11-24T19:06:39,241,0,87,240
2022-11-24T19:15:52,241,0,87,240
2022-11-24T19:25:07,241,0,87,240
2022-11-24T19:34:21,241,0,87,240
